t	0000ul_dec	0000ul_irf	0000ul_fit	0000ul_res	0250ul_dec	0250ul_irf	0250ul_fit	0250ul_res	0500ul_dec	0500ul_irf	0500ul_fit	0500ul_res	0750ul_dec	0750ul_irf	0750ul_fit	0750ul_res	1000ul_dec	1000ul_irf	1000ul_fit	1000ul_res
23.594	9092	19.9943	9198.55	1.12191	8537	19.9943	8844.47	3.3041	8407	19.9943	8503.27	1.05023	8234	21.0451	8356.97	1.35234	7514	20.3541	7680.9	1.91199
23.649	9119	27.0064	9168.13	0.51749	8578	27.0064	8809.72	2.48887	8439	27.0064	8464.23	0.27556	8308	25.3701	8310.04	0.02248	7609	26.4023	7622.39	0.15368
23.704	8800	14	9134.95	3.52775	8568	14	8771.88	2.19353	8498	14	8421.92	-0.83217	8121	13.8	8260.45	1.53586	7365	13.6959	7560.41	2.25378
23.759	9065	19.0036	9104.1	0.41207	8641	19.0036	8736.75	1.03194	8311	19.0036	8382.56	0.78418	8260	18.5671	8213.77	-0.51044	7557	18.9347	7502.29	-0.63317
23.813	9043	12.9906	9071.84	0.30374	8640	12.9906	8700.04	0.64665	8275	12.9906	8341.55	0.72871	8100	13.1689	8165.59	0.72472	7431	12.9569	7442.37	0.13205
23.868	8946	15.9783	9040.82	0.9997	8740	15.9783	8664.78	-0.80941	8329	15.9783	8302.14	-0.29472	8282	14.8522	8118.8	-1.80582	7479	15.5372	7384.53	-1.10125
23.923	9250	9.97094	9008.62	-2.55095	8639	9.97094	8628.21	-0.11609	8165	9.97094	8261.35	1.06016	8219	11.5865	8071.4	-1.63964	7286	10.5937	7325.59	0.46323
23.978	8814	20.0093	8978.81	1.73973	8644	20.0093	8594.36	-0.53418	8216	20.0093	8223.52	0.08289	8069	18.6158	8026.14	-0.47656	7235	19.5537	7269.99	0.40984
24.033	8986	7.02124	8945.91	-0.42367	8599	7.02124	8557.05	-0.45211	8420	7.02124	8182	-2.62341	8125	6.7825	7977.78	-1.64196	7245	6.68708	7210.38	-0.40743
24.088	8950	12.993	8915.5	-0.36465	8672	12.993	8522.6	-1.61054	8109	12.993	8143.61	0.3821	8021	13.1755	7932.67	-0.98627	7022	13.2202	7154.92	1.5679
24.143	8729	8.99362	8883.9	1.64043	8592	8.99362	8486.82	-1.13834	8018	8.99362	8103.82	0.95058	7738	8.60131	7886	1.65951	7102	8.72547	7097.77	-0.05011
24.198	8991	8.99344	8852.85	-1.46365	8540	8.99344	8451.7	-0.95527	8333	8.99344	8064.78	-2.97113	7979	8.40455	7840.21	-1.56053	7257	8.75195	7041.84	-2.55378
24.252	8864	6.00913	8821.42	-0.4518	8433	6.00913	8416.18	-0.18222	8209	6.00913	8025.35	-2.0393	7822	6.68775	7794.38	-0.31136	6914	6.26831	6985.79	0.85458
24.307	9014	9.98395	8791.07	-2.37085	8588	9.98395	8381.91	-2.23881	8055	9.98395	7987.29	-0.75491	7934	9.18245	7749.57	-2.08587	7147	9.68638	6931.38	-2.57773
24.362	8654	4.98643	8759.58	1.12225	8128	4.98643	8346.38	2.37472	7835	4.98643	7947.9	1.25827	7671	5.96358	7704.01	0.37389	6937	5.33668	6875.83	-0.73194
24.417	9178	12.0011	8729.89	-4.76549	8706	12.0011	8312.89	-4.28903	8154	12.0011	7910.75	-2.71767	7828	11.2664	7660.25	-1.90401	7025	11.7918	6822.94	-2.42679
24.472	8577	5.00154	8698.41	1.29336	8407	5.00154	8277.4	-1.41548	7859	5.00154	7871.46	0.13983	7687	5.50674	7614.83	-0.82143	6861	5.09982	6767.85	-1.12341
24.527	8617	11	8668.78	0.55282	8199	11	8244.02	0.49298	7842	11	7834.49	-0.08455	7684	10.465	7571.49	-1.28371	6706	10.8799	6715.65	0.11669
24.582	9040	3.99248	8637.45	-4.30615	8515	3.99248	8208.76	-3.36275	8154	3.99248	7795.52	-4.03866	7817	3.64543	7526.33	-3.32752	6902	3.70489	6661.24	-2.92443
24.636	8642	7.01494	8607.49	-0.36979	8089	7.01494	8175.07	0.94527	7664	7.01494	7758.28	1.06392	7442	7.64596	7483.22	0.47271	6643	7.37772	6609.32	-0.41016
24.691	8724	6.97561	8577.3	-1.57754	8386	6.97561	8141.14	-2.70149	7713	6.97561	7720.81	0.08842	7596	6.22894	7439.5	-1.80108	6748	6.62121	6557.02	-2.33659
24.746	8498	3.02574	8546.58	0.52288	8035	3.02574	8106.64	0.79257	7799	3.02574	7682.76	-1.31872	7476	2.57306	7395.5	-0.92998	6522	2.77238	6504.39	-0.2163
24.801	8720	2.00344	8516.22	-2.19568	8177	2.00344	8072.6	-1.15772	7890	2.00344	7645.24	-2.78455	7474	1.88447	7352.15	-1.4133	6657	1.94776	6452.64	-2.51934
24.856	8386	1.99382	8486.08	1.08232	8107	1.99382	8038.83	-0.75844	7605	1.99382	7608.05	0.0348	7415	2.43279	7309.27	-1.2333	6609	2.19173	6401.49	-2.56922
24.911	8623	4.00064	8456.38	-1.80533	8022	4.00064	8005.56	-0.18315	7680	4.00064	7571.42	-1.24131	7364	3.75582	7266.82	-1.13639	6474	3.91831	6351.11	-1.52981
24.966	8434	2	8426.24	-0.08432	8008	2	7971.82	-0.40526	7581	2	7534.31	-0.53523	7162	2.12722	7224.1	0.72976	6411	2.02105	6300.4	-1.38393
25.021	8453	4.00522	8396.75	-0.61094	7849	4.00522	7938.83	1.0059	7449	4.00522	7498.05	0.56323	7150	4.18464	7182.28	0.3797	6255	4.11989	6250.89	-0.05145
25.075	8481	5.01928	8367.31	-1.23873	8043	5.01928	7905.92	-1.53868	7690	5.01928	7461.88	-2.62982	7071	5.89867	7140.75	0.82296	6390	5.41955	6201.72	-2.36739
25.13	8343	8.9963	8338.52	-0.04889	7899	8.9963	7873.73	-0.2845	7453	8.9963	7426.51	-0.30674	7115	8.56704	7099.76	-0.18046	6012	8.85886	6153.51	1.78939
25.185	8280	4.03514	8308.59	0.31285	7605	4.03514	7840.28	2.64991	7330	4.03514	7389.81	0.69305	6946	3.25276	7057.56	1.32403	6153	3.60008	6103.89	-0.62351
25.24	8575	2.00789	8278.97	-3.24756	8067	2.00789	7807.23	-2.93492	7572	2.00789	7353.59	-2.54074	7347	1.66955	7016.05	-3.94532	6392	1.8463	6055.15	-4.29994
25.295	8230	1.98336	8249.68	0.21665	7837	1.98336	7774.56	-0.70697	7361	1.98336	7317.81	-0.50362	7086	3.16859	6975.31	-1.32392	6229	2.51432	6007.26	-2.84124
25.35	8063	8.99256	8221.63	1.74943	7681	8.99256	7743.31	0.70658	7000	8.99256	7283.56	3.31526	6969	9.49645	6935.86	-0.3963	5967	9.32066	5961.19	-0.07461
25.405	8326	6.98924	8192.6	-1.47518	7961	6.98924	7710.94	-2.84458	7603	6.98924	7248.13	-4.16359	7045	5.75864	6894.98	-1.79848	6033	6.38329	5913.65	-1.53755
25.46	8029	1.99476	8163.07	1.48563	7566	1.99476	7678.06	1.27457	7051	1.99476	7212.19	1.89756	6602	1.94382	6854.12	3.02852	5800	1.91239	5865.98	0.85325
25.514	7905	5.03145	8134.68	2.55032	7535	5.03145	7646.5	1.27097	7128	5.03145	7177.7	0.58711	6736	6.1898	6814.9	0.95202	5841	5.61233	5820.29	-0.2694
25.569	8245	7.96707	8106.55	-1.53792	7839	7.96707	7615.21	-2.55429	7345	7.96707	7143.52	-2.3837	7104	6.9024	6775.44	-3.97637	6164	7.51476	5774.77	-5.09331
25.624	7948	1.02697	8077.07	1.43574	7457	1.02697	7582.43	1.43621	6989	1.02697	7107.76	1.40774	6784	0.65208	6734.86	-0.59774	5645	0.75328	5727.74	1.08987
25.679	7976	1.99964	8048.59	0.80685	7627	1.99964	7550.84	-0.87298	6893	1.99964	7073.32	2.1466	6702	1.78679	6695.64	-0.07754	5744	1.94233	5682.5	-0.81259
25.734	8276	0.99368	8019.95	-2.84907	7757	0.99368	7519.08	-2.73225	7110	0.99368	7038.73	-0.84992	6790	2.03447	6656.54	-1.6291	5770	1.43626	5637.31	-1.76023
25.789	8172	7	7992.5	-2.00048	7662	7	7488.66	-1.99111	7183	7	7005.6	-2.12094	6714	6.74715	6618.57	-1.1678	5597	6.97943	5593.84	-0.04211
25.844	7852	1.99193	7963.69	1.247	7244	1.99193	7456.71	2.44938	6753	1.99193	6970.84	2.61313	6346	1.36807	6579.08	2.86239	5275	1.61672	5548.54	3.66404
25.898	8448	2.00647	7935.51	-5.72699	7813	2.00647	7425.53	-4.47036	7059	2.00647	6936.94	-1.46618	6774	2.32903	6540.78	-2.87072	5708	2.17645	5504.64	-2.73271
25.953	7869	3.00237	7907.6	0.43251	7312	3.00237	7394.65	0.95664	6828	3.00237	6903.39	0.90733	6455	3.05154	6502.71	0.58893	5395	3.02882	5461.18	0.89474
26.008	7673	3.97374	7879.84	2.32123	7499	3.97374	7363.96	-1.56586	6806	3.97374	6870.06	0.7734	6430	4.65809	6465.08	0.43425	5498	4.29308	5418.22	-1.0827
26.063	7980	6.99951	7852.57	-1.43317	7503	6.99951	7333.82	-1.96758	6922	6.99951	6837.34	-1.02513	6678	6.79361	6427.87	-3.10831	5527	6.94807	5375.99	-2.05619
26.118	7824	4.01109	7824.58	0.00652	7198	4.01109	7302.88	1.22254	6825	4.01109	6803.79	-0.25727	6514	3.51499	6389.91	-1.54528	5329	3.73627	5332.91	0.05347
26.173	7600	2.99984	7796.84	2.22972	7193	2.99984	7272.27	0.9273	6654	2.99984	6770.62	1.41866	6355	3.01987	6352.55	-0.03063	5146	3.009	5290.56	1.98526
26.228	8045	3	7769.32	-3.12861	7516	3	7241.91	-3.21153	6719	3	6737.75	0.22848	6457	2.93072	6315.46	-1.77659	5391	2.9652	5248.65	-1.96332
26.283	7863	4.01543	7742.05	-1.37456	7264	4.01543	7211.86	-0.61376	6813	4.01543	6705.23	-1.31678	6273	5.01927	6279.02	0.0758	5273	4.48254	5207.43	-0.91034
26.337	7453	7.99125	7715.43	2.98967	6941	7.99125	7182.54	2.85323	6536	7.99125	6673.5	1.6835	6098	7.29968	6242.95	1.83502	4931	7.73183	5167.02	3.29579
26.392	7836	2.99297	7687.65	-1.69229	7338	2.99297	7151.93	-2.20106	6714	2.99297	6640.42	-0.90207	6287	3.19097	6205.94	-1.02893	5227	3.00255	5125.3	-1.42262
26.447	7607	6.00158	7661	0.61598	7103	6.00158	7122.62	0.23231	6610	6.00158	6608.76	-0.01519	6032	5.59317	6170.22	1.75976	4991	5.88374	5085.38	1.32405
26.502	7471	2.0053	7633.47	1.85785	6886	2.0053	7092.33	2.45298	6489	2.0053	6576.07	1.07024	6069	2.16813	6133.68	0.82605	4877	2.00533	5044.39	2.35949
26.557	7646	4.99663	7606.96	-0.44721	7057	4.99663	7063.21	0.07402	6681	4.99663	6544.67	-1.67946	6071	4.88552	6098.38	0.35034	4992	5.00953	5005.08	0.18497
26.612	7641	2.00487	7579.73	-0.7018	7023	2.00487	7033.3	0.12278	6667	2.00487	6512.44	-1.91008	6214	1.64807	6062.26	-1.94481	5163	1.7836	4964.83	-2.80723
26.667	7611	3.00688	7553.08	-0.66474	7053	3.00688	7004.07	-0.58491	6500	3.00688	6480.96	-0.23587	6022	3.81454	6027.24	0.06737	4884	3.39992	4925.82	0.59439
26.722	7701	5.99837	7526.9	-2.00033	7011	5.99837	6975.38	-0.42694	6565	5.99837	6450.08	-1.42716	6104	5.69545	5992.5	-1.43588	4961	5.8972	4887.42	-1.05024
26.776	7632	2.9888	7500.01	-1.51783	6991	2.9888	6945.89	-0.54084	6539	2.9888	6418.36	-1.49945	6078	2.73401	5957.1	-1.56121	4999	2.82401	4848.2	-2.15352
26.831	7464	2.9973	7473.54	0.10989	6875	2.9973	6916.9	0.50301	6166	2.9973	6387.21	2.75584	5914	2.85281	5922.35	0.10806	4754	2.94522	4809.84	0.79958
26.886	7563	1.99894	7447	-1.34074	6981	1.99894	6887.86	-1.11917	6407	1.99894	6356.02	-0.63663	5948	2.13431	5887.65	-0.78521	4941	2.04228	4771.55	-2.44042
26.941	7444	3.00206	7420.82	-0.26879	6766	3.00206	6859.24	1.12341	6340	3.00206	6325.31	-0.18402	5852	2.80245	5853.39	0.01807	4602	2.92962	4733.93	1.90306
26.996	7353	1.99745	7394.47	0.48183	6850	1.99745	6830.43	-0.23571	6392	1.99745	6294.42	-1.22417	5772	2.47482	5819.16	0.61724	4836	2.19023	4696.29	-2.02048
27.051	7429	6	7368.97	-0.69957	6910	6	6802.6	-1.29547	6413	6	6264.59	-1.86873	5840	6.6176	5786.02	-0.70962	4749	6.34188	4660.02	-1.29321
